Entity,Code,Year,Life satisfaction in Cantril Ladder (World Happiness Report 2022),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Canada,CAN,2003,7.41804838180542,39268.2109375,31619456,
Canada,CAN,2005,7.48175287246704,42046.87109375,32215914,
Canada,CAN,2006,7.48560380935669,43358.18359375,32531864,
Canada,CAN,2007,7.48782444000244,45888.4765625,32862458,
Canada,CAN,2008,7.65034627914429,45851.62890625,33218542,
Canada,CAN,2009,7.42605352401733,44003.6171875,33593920,
Canada,CAN,2010,7.41514444351196,44861.5234375,33963416,
Canada,CAN,2011,7.59379386901855,45822.59765625,34323536,
Canada,CAN,2012,7.30425786972046,46126.515625,34691876,
Canada,CAN,2013,7.41277265548706,46704.76171875,35063696,
Canada,CAN,2014,7.24484586715698,47564.609375,35404616,
Canada,CAN,2015,7.41486835479736,47522.140625,35732120,North America
Canada,CAN,2016,7.17549657821655,47457.5859375,36113532,
Canada,CAN,2017,7.10907649993896,48317.17578125,36554344,
Canada,CAN,2018,7.02490472793579,48962.48046875,37035260,
Canada,CAN,2019,7.10330009460449,49171.51171875,37522584,
Canada,CAN,2020,7.02510023117065,46064.25390625,37888704,
